,Name,Platform,Year_of_Release,Critic_Score,User_Score,Rating
0,Shenmue,Dreamcast,2000,88,9.0,T
1,NFL 2K1,Dreamcast,2000,97,5.9,E
2,Seaman,Dreamcast,2000,82,8.5,T
3,SoulCalibur,Dreamcast,1999,98,8.1,T
4,Capcom vs. SNK,Dreamcast,2000,80,8.1,T
5,Phantasy Star Online,Dreamcast,2001,89,8.2,T
6,Grandia II,Dreamcast,2000,90,8.4,T
7,Phantasy Star Online Ver. 2,Dreamcast,2001,80,8.4,T
8,Sega GT,Dreamcast,2000,84,8.3,E
9,Sonic Adventure 2,Dreamcast,2001,89,8.5,E
10,Skies of Arcadia,Dreamcast,2000,93,9.0,T
11,Crazy Taxi 2,Dreamcast,2001,82,8.3,T
12,The Typing of the Dead,Dreamcast,2001,83,7.1,M
